n_total,n_valid,n_unique_valid,percent_valid,percent_unique_raw,percent_unique_valid,n_novel_vs_training,percent_novel_vs_training,run_id,seed,pretrained_model,drop_scale,learning_rate,finetune_batch_size,max_finetune_epochs,n_eval_smiles,eval_batch_size,eval_max_smiles_length,n_raw_smiles_to_sample,generation_batch_size,max_smiles_length,exclude_training_set_hits,epoch,checkpoint_path,eval_output_path,created_at,n_training_smiles,device
4000,3880,3880,0.97,1.0,1.0,3880,1.0,20260505_183148,42,LSTM_LM_Small_ZINC_NC,0.3,5e-05,32,8,4000,512,90,10000,512,120,True,1,/home/kluna/TFM/tfm_project/outputs/mrl/checkpoints/run_20260505_183148/mrl_lstm_egfr_finetuned_epoch_01.pt,/home/kluna/TFM/tfm_project/outputs/mrl/run_20260505_183148/generated_eval_epoch_01.csv,2026-05-05T18:41:24.557453,8553,cpu
4000,3728,3728,0.932,1.0,1.0,3728,1.0,20260505_183148,42,LSTM_LM_Small_ZINC_NC,0.3,5e-05,32,8,4000,512,90,10000,512,120,True,2,/home/kluna/TFM/tfm_project/outputs/mrl/checkpoints/run_20260505_183148/mrl_lstm_egfr_finetuned_epoch_02.pt,/home/kluna/TFM/tfm_project/outputs/mrl/run_20260505_183148/generated_eval_epoch_02.csv,2026-05-05T18:50:08.604460,8553,cpu
4000,3619,3619,0.90475,1.0,1.0,3617,0.9994473611494888,20260505_183148,42,LSTM_LM_Small_ZINC_NC,0.3,5e-05,32,8,4000,512,90,10000,512,120,True,3,/home/kluna/TFM/tfm_project/outputs/mrl/checkpoints/run_20260505_183148/mrl_lstm_egfr_finetuned_epoch_03.pt,/home/kluna/TFM/tfm_project/outputs/mrl/run_20260505_183148/generated_eval_epoch_03.csv,2026-05-05T19:01:24.422648,8553,cpu
4000,3558,3558,0.8895,1.0,1.0,3554,0.9988757729061271,20260505_183148,42,LSTM_LM_Small_ZINC_NC,0.3,5e-05,32,8,4000,512,90,10000,512,120,True,4,/home/kluna/TFM/tfm_project/outputs/mrl/checkpoints/run_20260505_183148/mrl_lstm_egfr_finetuned_epoch_04.pt,/home/kluna/TFM/tfm_project/outputs/mrl/run_20260505_183148/generated_eval_epoch_04.csv,2026-05-05T19:10:16.632592,8553,cpu
4000,3547,3544,0.88675,0.99925,0.9991542148294333,3526,0.994920993227991,20260505_183148,42,LSTM_LM_Small_ZINC_NC,0.3,5e-05,32,8,4000,512,90,10000,512,120,True,5,/home/kluna/TFM/tfm_project/outputs/mrl/checkpoints/run_20260505_183148/mrl_lstm_egfr_finetuned_epoch_05.pt,/home/kluna/TFM/tfm_project/outputs/mrl/run_20260505_183148/generated_eval_epoch_05.csv,2026-05-05T19:18:50.210289,8553,cpu
4000,3529,3511,0.88225,0.9955,0.9948994049305753,3485,0.9925947023639988,20260505_183148,42,LSTM_LM_Small_ZINC_NC,0.3,5e-05,32,8,4000,512,90,10000,512,120,True,6,/home/kluna/TFM/tfm_project/outputs/mrl/checkpoints/run_20260505_183148/mrl_lstm_egfr_finetuned_epoch_06.pt,/home/kluna/TFM/tfm_project/outputs/mrl/run_20260505_183148/generated_eval_epoch_06.csv,2026-05-05T19:29:52.576233,8553,cpu
4000,3517,3501,0.87925,0.996,0.9954506681831106,3476,0.9928591830905455,20260505_183148,42,LSTM_LM_Small_ZINC_NC,0.3,5e-05,32,8,4000,512,90,10000,512,120,True,7,/home/kluna/TFM/tfm_project/outputs/mrl/checkpoints/run_20260505_183148/mrl_lstm_egfr_finetuned_epoch_07.pt,/home/kluna/TFM/tfm_project/outputs/mrl/run_20260505_183148/generated_eval_epoch_07.csv,2026-05-05T19:40:55.228484,8553,cpu
4000,3551,3530,0.88775,0.99475,0.9940861729090397,3473,0.9838526912181303,20260505_183148,42,LSTM_LM_Small_ZINC_NC,0.3,5e-05,32,8,4000,512,90,10000,512,120,True,8,/home/kluna/TFM/tfm_project/outputs/mrl/checkpoints/run_20260505_183148/mrl_lstm_egfr_finetuned_epoch_08.pt,/home/kluna/TFM/tfm_project/outputs/mrl/run_20260505_183148/generated_eval_epoch_08.csv,2026-05-05T19:48:30.349920,8553,cpu
