profile,candidate_id,puntos_fuertes,puntos_debiles,predicted_pIC50,reward_score,qed,admet_hard_pass_fraction,pass_hERG,max_tanimoto_training,max_tanimoto_approved_egfr
Mas equilibrada con hERG favorable,C05,"actividad proxy alta frente a EGFR; supera el criterio hERG; QED favorable; sin violaciones de Lipinski; similitud moderada frente a inhibidores EGFR aprobados; similitud razonable frente al training, sin parecer copia directa",presenta fallos ADMET generales: pass_NIH_alert,7.182763321687197,0.7567609024755124,0.7564147092802743,0.8888888888888888,True,0.6133333333333333,0.5348837209302325
Mayor actividad predicha,C07,actividad proxy alta frente a EGFR,no supera hERG; posible alerta cardiotóxica computacional; presenta fallos ADMET generales: pass_ClinTox; QED bajo; peor perfil drug-like; 1 violación(es) de Lipinski; alta similitud frente al training; menor novedad efectiva; alta similitud frente a inhibidores EGFR aprobados; menor novedad,8.170641482580871,0.7010874199669045,0.4437574029539664,0.7777777777777778,False,0.8611111111111112,0.8611111111111112
Mejor perfil ADMET general,C06,"actividad proxy favorable frente a EGFR; supera el criterio hERG; cumple todos los filtros ADMET duros considerados; QED favorable; sin violaciones de Lipinski; baja similitud frente a inhibidores EGFR aprobados; similitud razonable frente al training, sin parecer copia directa","sin señales críticas en los criterios analizados, aunque requiere validación experimental",6.852217450880728,0.7037270829732393,0.769509666266339,1.0,True,0.365079365079365,0.2816901408450704
Mayor novedad,C23,"actividad proxy aceptable; supera el criterio hERG; cumple todos los filtros ADMET duros considerados; QED alto; sin violaciones de Lipinski; baja similitud frente a inhibidores EGFR aprobados; similitud razonable frente al training, sin parecer copia directa",actividad predicha más moderada que otras candidatas de la shortlist; muy alejada de inhibidores EGFR conocidos; mayor incertidumbre externa,6.489532149938984,0.6560777483405987,0.9354278366377274,1.0,True,0.4242424242424242,0.18
Mejor calidad molecular drug-like,C26,"actividad proxy favorable frente a EGFR; QED alto; sin violaciones de Lipinski; baja similitud frente a inhibidores EGFR aprobados; similitud razonable frente al training, sin parecer copia directa",no supera hERG; posible alerta cardiotóxica computacional; presenta fallos ADMET generales: pass_AMES,6.502107178605026,0.6374042394648531,0.9423192207261822,0.7777777777777778,False,0.4727272727272727,0.2696629213483146
