murcko_scaffold,n_candidates,mean_predicted_pIC50,max_predicted_pIC50,mean_reward_score,mean_qed,mean_training_similarity,mean_admet_hard_pass_fraction
c1ccc(Nc2ncnc3ccccc23)cc1,2,7.304546197089079,7.678819959913159,0.7574562250694881,0.7919604067204502,0.6685534591194968,0.7777777777777778
O=C(Nc1ccc2ncnc(Nc3ccccc3)c2c1)C1CCOCC1,1,7.447769609376401,7.447769609376401,0.7925126112457442,0.6414177174962158,0.6984126984126984,0.8888888888888888
c1ccc(Nc2ncnc3ccc(OC4CC5(COC5)C4)cc23)cc1,1,7.36056447629656,7.36056447629656,0.7762618349189744,0.6493527194242041,0.7068965517241379,0.8888888888888888
O=C(Nc1cc2c(Nc3ccccc3)ncnc2cn1)Nc1nc2n(n1)CCCC2,1,7.768092179121568,7.768092179121568,0.7670445400914427,0.4019900556360737,0.5571428571428572,0.8888888888888888
c1cnc(Nc2ccc(N3CCOCC3)cc2)nc1,1,7.182763321687197,7.182763321687197,0.7567609024755124,0.7564147092802743,0.6133333333333333,0.8888888888888888
c1ccc(Nc2ncnc3nc[nH]c23)cc1,1,6.852217450880728,6.852217450880728,0.7037270829732393,0.769509666266339,0.365079365079365,1.0
O=C(/C=C/CN1CCCC1)Nc1ccc2ncnc(Nc3ccccc3)c2c1,1,8.170641482580871,8.170641482580871,0.7010874199669045,0.4437574029539664,0.8611111111111112,0.7777777777777778
O=C(N1CCCCC1)C12CC(CN1c1ncnc3ccccc13)C2,1,6.7796448305099135,6.7796448305099135,0.6903751830204563,0.8353452661126919,0.3296703296703296,1.0
O=C(Nc1cc(Nc2ccccc2)ncn1)C1CCNCC1,1,6.782785698775599,6.782785698775599,0.6885812893331525,0.8351874522133407,0.5205479452054794,0.8888888888888888
c1ccc(CCNc2ncnc3ccccc23)cc1,1,6.9351245137237605,6.9351245137237605,0.686361248425012,0.5431946854874469,0.4285714285714285,1.0
O=C(c1nccnc1Nc1ccc(N2CCNCC2)cc1)N1CCOCC1,1,6.811856099620985,6.811856099620985,0.6837410297957615,0.8014256015822274,0.3369565217391304,0.8888888888888888
c1ccc2c(c1)ncn2C1CCOC1,1,6.721692578544875,6.721692578544875,0.679607963005611,0.8568227703373624,0.4153846153846154,0.8888888888888888
c1ccc(Nc2ncnc3c2COC3)cc1,1,6.723289864168812,6.723289864168812,0.6776943311373836,0.8419355103839297,0.5178571428571429,0.8888888888888888
c1ccc(Nc2ccncn2)cc1,1,6.598890090271932,6.598890090271932,0.6765691364145076,0.926226503353188,0.4852941176470588,1.0
c1ccc(Nc2ncnc3ccc(OC4CCNC4)cc23)cc1,1,7.569357607825857,7.569357607825857,0.6764970763305402,0.4650069638967233,0.5925925925925926,0.8888888888888888
c1cc(Nc2cncc(N3CCOCC3)c2)ccn1,1,6.609368338368001,6.609368338368001,0.6716639844140974,0.8795544925556957,0.3513513513513513,1.0
c1ccc2c(NCC3CCOCC3)ncnc2c1,1,6.662553577291209,6.662553577291209,0.6708838910018747,0.8775142919840087,0.5178571428571429,0.8888888888888888
O=C(Nc1ccccc1)c1cc(N2CCOCC2)ccn1,1,6.631773389410255,6.631773389410255,0.6653286678364249,0.8074456473148737,0.3692307692307692,1.0
c1ccc(Nc2ncnc3c2CCNCC3)cc1,1,6.662007861159432,6.662007861159432,0.6637040528145809,0.9044503996518264,0.4342105263157895,0.7777777777777778
O=C(NCCNc1ncnc2ccccc12)C1CCNC1,1,6.637260763202177,6.637260763202177,0.6597685404690118,0.898969395916324,0.3283582089552239,0.8888888888888888
c1cc(Cn2cc(Nc3ncnc4ccc(Nc5cnn(C6CCC6)c5)cc34)cn2)ccn1,1,6.966389678982757,6.966389678982757,0.6561982831859272,0.3630928097873291,0.4166666666666667,0.8888888888888888
O=C(c1cscn1)N1CCC(c2ncco2)CC1,1,6.489532149938984,6.489532149938984,0.6560777483405987,0.9354278366377274,0.4242424242424242,1.0
O=C(/C=C/c1ccncn1)Nc1ccc(N2CCSCC2)cc1,1,6.667808055243307,6.667808055243307,0.6446269691042622,0.8672806103734576,0.3157894736842105,0.7777777777777778
c1ccc(N2CCN(Cc3cncs3)CC2)cc1,1,6.491466366729854,6.491466366729854,0.6410943036828677,0.9417823586881356,0.3378378378378378,0.8888888888888888
O=C(Nc1ncnc2ccccc12)C1CCOC1,1,6.502107178605026,6.502107178605026,0.6374042394648531,0.9423192207261822,0.4727272727272727,0.7777777777777778
O=C(Nc1ccc2ncnc(NC(c3ccccc3)c3cnccn3)c2c1)c1cnc2c(c1)C(=O)CC2,1,7.1588758178251375,7.1588758178251375,0.6348424262980672,0.278575551127713,0.4705882352941176,0.8888888888888888
c1ccc2ncccc2c1,1,6.25088338588824,6.25088338588824,0.6091277922490391,0.9406264814283216,0.3714285714285714,1.0
O=C(Nc1ncc(Oc2ccccc2)cn1)N1CCCC1,1,6.192257320276895,6.192257320276895,0.5974083149645976,0.9406647203471724,0.3676470588235294,1.0
c1ccc(C(Nc2cc(N3CCOCC3)ncn2)c2c[nH]cn2)cc1,1,6.48215309538823,6.48215309538823,0.5884656561202743,0.5546661222914232,0.3472222222222222,0.8888888888888888
